date;rate
1995 JAN;8.9
1995 FEB;8.9
1995 MAR;8.8
1995 APR;8.8
1995 MAY;8.7
1995 JUN;8.7
1995 JUL;8.6
1995 AUG;8.6
1995 SEP;8.6
1995 OCT;8.6
1995 NOV;8.3
1995 DEC;8.4
1996 JAN;8.3
1996 FEB;8.2
1996 MAR;8.3
1996 APR;8.3
1996 MAY;8.3
1996 JUN;8.2
1996 JUL;8.1
1996 AUG;8.1
1996 SEP;8.1
1996 OCT;8.0
1996 NOV;7.8
1996 DEC;7.7
1997 JAN;7.5
1997 FEB;7.3
1997 MAR;7.2
1997 APR;7.2
1997 MAY;7.2
1997 JUN;7.3
1997 JUL;7.1
1997 AUG;6.8
1997 SEP;6.7
1997 OCT;6.6
1997 NOV;6.5
1997 DEC;6.4
1998 JAN;6.4
1998 FEB;6.4
1998 MAR;6.3
1998 APR;6.3
1998 MAY;6.3
1998 JUN;6.3
1998 JUL;6.3
1998 AUG;6.2
1998 SEP;6.2
1998 OCT;6.2
1998 NOV;6.1
1998 DEC;6.2
1999 JAN;6.2
1999 FEB;6.2
1999 MAR;6.2
1999 APR;6.1
1999 MAY;6.0
1999 JUN;6.0
1999 JUL;5.9
1999 AUG;5.9
1999 SEP;5.8
1999 OCT;5.8
1999 NOV;5.8
1999 DEC;5.9
2000 JAN;5.8
2000 FEB;5.8
2000 MAR;5.7
2000 APR;5.6
2000 MAY;5.5
2000 JUN;5.3
2000 JUL;5.3
2000 AUG;5.3
2000 SEP;5.4
2000 OCT;5.3
2000 NOV;5.2
2000 DEC;5.2
2001 JAN;5.2
2001 FEB;5.1
2001 MAR;5.0
2001 APR;4.9
2001 MAY;5.0
2001 JUN;5.0
2001 JUL;5.1
2001 AUG;5.1
2001 SEP;5.1
2001 OCT;5.1
2001 NOV;5.2
2001 DEC;5.2
2002 JAN;5.1
2002 FEB;5.2
2002 MAR;5.2
2002 APR;5.2
2002 MAY;5.2
2002 JUN;5.2
2002 JUL;5.2
2002 AUG;5.3
2002 SEP;5.2
2002 OCT;5.2
2002 NOV;5.1
2002 DEC;5.0
2003 JAN;5.1
2003 FEB;5.2
2003 MAR;5.1
2003 APR;5.0
2003 MAY;4.9
2003 JUN;5.1
2003 JUL;5.1
2003 AUG;5.0
2003 SEP;5.0
2003 OCT;4.9
2003 NOV;4.9
2003 DEC;4.8
2004 JAN;4.8
2004 FEB;4.8
2004 MAR;4.8
2004 APR;4.8
2004 MAY;4.8
2004 JUN;4.8
2004 JUL;4.7
2004 AUG;4.7
2004 SEP;4.7
2004 OCT;4.7
2004 NOV;4.7
2004 DEC;4.7
2005 JAN;4.8
2005 FEB;4.7
2005 MAR;4.7
2005 APR;4.8
2005 MAY;4.8
2005 JUN;4.7
2005 JUL;4.7
2005 AUG;4.7
2005 SEP;4.9
2005 OCT;5.1
2005 NOV;5.1
2005 DEC;5.1
2006 JAN;5.2
2006 FEB;5.2
2006 MAR;5.3
2006 APR;5.4
2006 MAY;5.5
2006 JUN;5.5
2006 JUL;5.5
2006 AUG;5.5
2006 SEP;5.5
2006 OCT;5.4
2006 NOV;5.5
2006 DEC;5.5
2007 JAN;5.5
2007 FEB;5.5
2007 MAR;5.5
2007 APR;5.4
2007 MAY;5.4
2007 JUN;5.3
2007 JUL;5.3
2007 AUG;5.3
2007 SEP;5.2
2007 OCT;5.2
2007 NOV;5.2
2007 DEC;5.2
2008 JAN;5.2
2008 FEB;5.2
2008 MAR;5.3
2008 APR;5.2
2008 MAY;5.4
2008 JUN;5.5
2008 JUL;5.7
2008 AUG;5.9
2008 SEP;6.0
2008 OCT;6.2
2008 NOV;6.4
2008 DEC;6.5
2009 JAN;6.7
2009 FEB;7.1
2009 MAR;7.3
2009 APR;7.6
2009 MAY;7.8
2009 JUN;7.9
2009 JUL;7.9
2009 AUG;7.8
2009 SEP;7.9
2009 OCT;7.8
2009 NOV;7.8
2009 DEC;7.7
2010 JAN;7.9
2010 FEB;8.0
2010 MAR;8.0
2010 APR;7.9
2010 MAY;7.9
2010 JUN;7.8
2010 JUL;7.8
2010 AUG;7.8
2010 SEP;7.9
2010 OCT;7.9
2010 NOV;7.9
2010 DEC;7.9
2011 JAN;7.8
2011 FEB;7.8
2011 MAR;7.7
2011 APR;7.8
2011 MAY;7.9
2011 JUN;8.0
2011 JUL;8.2
2011 AUG;8.3
2011 SEP;8.4
2011 OCT;8.5
2011 NOV;8.4
2011 DEC;8.3
2012 JAN;8.3
2012 FEB;8.2
2012 MAR;8.2
2012 APR;8.1
2012 MAY;8.0
2012 JUN;8.0
2012 JUL;7.9
2012 AUG;7.9
2012 SEP;7.9
2012 OCT;7.8
2012 NOV;7.8
2012 DEC;7.8
2013 JAN;8.0
2013 FEB;7.8
2013 MAR;7.8
2013 APR;7.8
2013 MAY;7.7
2013 JUN;7.7
2013 JUL;7.7
2013 AUG;7.6
2013 SEP;7.4
2013 OCT;7.2
2013 NOV;7.2
2013 DEC;7.2
2014 JAN;6.9
2014 FEB;6.8
2014 MAR;6.6
2014 APR;6.4
2014 MAY;6.3
2014 JUN;6.1
2014 JUL;6.0
2014 AUG;6.0
2014 SEP;6.0
2014 OCT;5.9
2014 NOV;5.7
2014 DEC;5.7
2015 JAN;5.6
2015 FEB;5.5
2015 MAR;5.5
2015 APR;5.6
2015 MAY;5.6
2015 JUN;5.5
2015 JUL;5.4
2015 AUG;5.3
2015 SEP;5.2
2015 OCT;5.1
2015 NOV;5.1
2015 DEC;5.1
2016 JAN;5.1
2016 FEB;5.1
2016 MAR;5.0
2016 APR;4.9
2016 MAY;4.9
2016 JUN;4.9
2016 JUL;5.0
2016 AUG;4.8
2016 SEP;4.8
2016 OCT;4.8
2016 NOV;4.8
2016 DEC;4.7
2017 JAN;4.7
2017 FEB;4.6
2017 MAR;4.6
2017 APR;4.5
2017 MAY;4.4
2017 JUN;4.3
2017 JUL;4.3